Data,Valor
Jan-15,81760.0884
Feb-15,76791.6756
Mar-15,81761.293
Apr-15,100967.6703
May-15,109730.8455
Jun-15,105153.8776
Jul-15,111017.9718
Aug-15,111715.4265
Sep-15,109810.5385
Oct-15,111259.2784
Nov-15,99324.7271
Dec-15,104088.1766
Jan-16,105834.7328
Feb-16,103654.3582
Mar-16,110824.1886
Apr-16,115220.546
May-16,117254.7838
Jun-16,115321.3924
Jul-16,113941.0078
Aug-16,114920.8098
Sep-16,116097.0691
Oct-16,115486.7517
Nov-16,109468.5754
Dec-16,113089.3687
Jan-17,111333.4917
Feb-17,105234.1231
Mar-17,117489.3997
Apr-17,119702.498
May-17,124849.1672
Jun-17,117538.6958
Jul-17,120494.9209
Aug-17,122728.6149
Sep-17,119020.8639
Oct-17,118350.1569
Nov-17,112855.6375
Dec-17,116267.4868
Jan-18,122363.0083
Feb-18,112961.0981
Mar-18,127299.7346
Apr-18,124800.3152
May-18,131935.7144
Jun-18,128925.9691
Jul-18,130446.1289
Aug-18,134207.7697
Sep-18,130632.4658
Oct-18,132543.8033
Nov-18,120266.8571
Dec-18,123155.0122
Jan-19,121530.7082
Feb-19,112998.5056
Mar-19,128663.9534
Apr-19,131342.603
May-19,138835.0648
Jun-19,140287.5253
Jul-19,138151.5478
Aug-19,134879.8723
Sep-19,129744.5748
Oct-19,119941.1135
Nov-19,115573.2794
Dec-19,121989.1396
Jan-20,125531.5931
Feb-20,124529.7026
Mar-20,120109.2847
Apr-20,105770.4008
May-20,123747.1797
Jun-20,128079.6393
Jul-20,134626.635
Aug-20,132815.8696
Sep-20,133454.3702
Oct-20,129698.1602
Nov-20,118241.5725
Dec-20,126861.5943
Jan-21,131205.7215
Feb-21,124151.7545
Mar-21,142565.3493
Apr-21,139023.1226
May-21,131823.2477
Jun-21,137373.8707
Jul-21,148126.9633
Aug-21,150989.4387
Sep-21,136188.1288
Oct-21,134930.7612
Nov-21,119939.7695
Dec-21,129052.4503
